Brand,Slug,Tagline,Color Token,Hex,Color Notes,Typo Token,Font,Size px,Typo Notes
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.background,#F9FAFB,"Page base, light backgrounds",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.border,#E5E7EB,"Borders, dividers, separators",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",neutral.surface,#FFFFFF,"Cards, panels, white surfaces",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.primary,#111827,"Headings, primary content, high emphasis",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",text.secondary,#4B5563,"Secondary text, muted content",type.caption,Inter,12.0,"Tiny labels, timestamps"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h2,Inter,24.0,Subsection headers
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h4,Inter,18.0,Minor headings
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.button.large,Inter,16.0,Primary CTAs — uppercase
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.button,Inter,14.0,Standard buttons — uppercase
Dropframe,dropframe,Build Your Brand in Motion,dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h2,Inter,24.0,Subsection headers
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h4,Inter,18.0,Minor headings
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.button.large,Inter,16.0,Primary CTAs — uppercase
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.button,Inter,14.0,Standard buttons — uppercase
Dropframe,dropframe,Build Your Brand in Motion,dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.h2,Inter,24.0,Subsection headers
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.h4,Inter,18.0,Minor headings
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.button.large,Inter,16.0,Primary CTAs — uppercase
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.button,Inter,14.0,Standard buttons — uppercase
Dropframe,dropframe,Build Your Brand in Motion,neutral.dark,#212121,"Primary text, high emphasis",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.h2,Inter,24.0,Subsection headers
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.h4,Inter,18.0,Minor headings
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.button.large,Inter,16.0,Primary CTAs — uppercase
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.button,Inter,14.0,Standard buttons — uppercase
Dropframe,dropframe,Build Your Brand in Motion,neutral.light,#F5F5F5,"Background surfaces, light base",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h2,Inter,24.0,Subsection headers
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h4,Inter,18.0,Minor headings
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body,Libre Franklin,16.0,"Standard content, descriptions"
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.button.large,Inter,16.0,Primary CTAs — uppercase
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body.small,Libre Franklin,14.0,"Secondary information, metadata"
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.button,Inter,14.0,Standard buttons — uppercase
Dropframe,dropframe,Build Your Brand in Motion,neutral.white,#FFFFFF,"Pure white — cards, overlays",type.caption,Libre Franklin,12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h2,Inter,24.0,Subsection headers
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h4,Inter,18.0,Minor headings
Dropframe,dropframe,Build Your Brand in Motion,tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.body.large,Libre Franklin,18.0,"Lead paragraphs, introductions"
